<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.08.05	00:03:30.827	0.86949	0.87114			6
2025.08.05	00:03:42.895		0.87117			4
2025.08.05	00:03:44.832	0.87000				2
2025.08.05	00:03:46.403		0.87135			4
2025.08.05	00:03:59.463	0.86994				2
2025.08.05	00:04:00.328	0.86994				2
2025.08.05	00:04:32.800		0.87120			4
2025.08.05	00:05:00.324	0.86994				2
2025.08.05	00:05:33.182		0.87120			4
2025.08.05	00:05:59.457	0.86995				2
2025.08.05	00:06:00.010	0.86995				2
2025.08.05	00:06:07.574		0.87137			4
2025.08.05	00:06:33.728		0.87136			4
2025.08.05	00:06:37.424		0.87186			4
2025.08.05	00:06:53.814		0.87175			4
2025.08.05	00:07:00.796	0.86995				2
2025.08.05	00:07:15.652	0.87012				2
2025.08.05	00:07:16.442	0.87013	0.87163			6
2025.08.05	00:07:27.075		0.87166			4
2025.08.05	00:07:35.539	0.87009				2
2025.08.05	00:07:37.502		0.87165			4
2025.08.05	00:07:41.635		0.87166			4
2025.08.05	00:07:47.423	0.87022	0.87164			6
2025.08.05	00:08:00.325	0.87022				2
2025.08.05	00:08:12.113	0.87018				2
2025.08.05	00:08:23.539	0.87012				2
2025.08.05	00:08:28.557	0.87018				2
2025.08.05	00:08:30.367		0.87152			4
2025.08.05	00:08:44.960	0.87024	0.87156			6
2025.08.05	00:09:00.003	0.87024				2
2025.08.05	00:09:00.328	0.87035				2
2025.08.05	00:09:02.733	0.87029				2
2025.08.05	00:09:03.739	0.87039				2
2025.08.05	00:09:04.732	0.87029				2
2025.08.05	00:09:11.443	0.87036				2
2025.08.05	00:09:51.669		0.87156			4
2025.08.05	00:10:00.315	0.87036	0.87145			6
2025.08.05	00:10:06.041	0.87037				2
2025.08.05	00:10:07.796		0.87144			4
2025.08.05	00:10:11.907	0.87072	0.87129			6
2025.08.05	00:11:00.134	0.87072				2
2025.08.05	00:11:05.278	0.87033	0.87155			6
2025.08.05	00:11:06.618	0.87047	0.87159			6
2025.08.05	00:11:06.929	0.87057	0.87149			6
2025.08.05	00:11:07.534	0.87072	0.87129			6
2025.08.05	00:11:08.459	0.87058	0.87148			6
2025.08.05	00:11:15.025	0.87072	0.87129			6
2025.08.05	00:11:15.931	0.87058	0.87148			6
2025.08.05	00:11:18.038	0.87059				2
2025.08.05	00:11:19.542	0.87058				2
2025.08.05	00:11:22.327	0.87074	0.87131			6
2025.08.05	00:11:23.252	0.87058	0.87148			6
2025.08.05	00:11:25.324	0.87063	0.87156			6
2025.08.05	00:11:29.588	0.87074	0.87131			6
2025.08.05	00:11:30.520	0.87063	0.87156			6
2025.08.05	00:11:36.982	0.87074	0.87131			6
2025.08.05	00:11:37.890	0.87063	0.87156			6
2025.08.05	00:11:38.738	0.87064				2
2025.08.05	00:11:46.898		0.87155			4
2025.08.05	00:11:52.862		0.87154			4
2025.08.05	00:12:00.325	0.87064				2
2025.08.05	00:12:03.899	0.87063	0.87155			6
2025.08.05	00:12:05.511	0.87064	0.87154			6
2025.08.05	00:12:08.621		0.87155			4
2025.08.05	00:12:14.456	0.87057	0.87161			6
2025.08.05	00:12:15.937		0.87162			4
2025.08.05	00:12:18.296	0.87058	0.87160			6
2025.08.05	00:12:18.698	0.87060	0.87159			6
2025.08.05	00:12:25.029	0.87063	0.87165			6
2025.08.05	00:12:26.740		0.87164			4
2025.08.05	00:12:30.736		0.87166			4
2025.08.05	00:12:36.351	0.87064				2
2025.08.05	00:12:39.939	0.87063				2
2025.08.05	00:12:40.786	0.87062				2
2025.08.05	00:12:44.390		0.87169			4
2025.08.05	00:12:45.195		0.87166			4
2025.08.05	00:12:52.367		0.87162			4
2025.08.05	00:13:00.326	0.87062				2
2025.08.05	00:13:00.942	0.87060	0.87156			6
2025.08.05	00:13:03.183	0.87056	0.87140			6
2025.08.05	00:13:04.650	0.87046	0.87138			6
2025.08.05	00:13:10.789	0.87003	0.87134			6
2025.08.05	00:13:11.956		0.87133			4
2025.08.05	00:13:14.741		0.87134			4
2025.08.05	00:13:15.629		0.87133			4
2025.08.05	00:13:16.640		0.87134			4
2025.08.05	00:13:17.714		0.87133			4
2025.08.05	00:13:18.705		0.87134			4
2025.08.05	00:13:20.711		0.87133			4
2025.08.05	00:13:21.705		0.87134			4
2025.08.05	00:13:23.708		0.87133			4
2025.08.05	00:13:24.704		0.87134			4
2025.08.05	00:13:32.280	0.86996	0.87131			6
2025.08.05	00:13:33.349		0.87130			4
2025.08.05	00:13:33.709		0.87127			4
2025.08.05	00:13:34.090		0.87128			4
2025.08.05	00:13:34.699		0.87130			4
2025.08.05	00:13:40.979		0.87131			4
2025.08.05	00:14:00.717	0.86996				2
2025.08.05	00:14:42.698		0.87131			4
2025.08.05	00:15:00.644	0.86996				2
2025.08.05	00:15:23.123	0.86990	0.87118			6
2025.08.05	00:16:00.194	0.86990				2
2025.08.05	00:16:16.485		0.87112			4
2025.08.05	00:16:16.838	0.86986				2
2025.08.05	00:17:01.845	0.86986				2
2025.08.05	00:17:16.842		0.87112			4
2025.08.05	00:18:00.358	0.86986				2
2025.08.05	00:18:16.860		0.87112			4
2025.08.05	00:18:19.702	0.86991	0.87113			6
2025.08.05	00:18:41.589	0.86990	0.87107			6
2025.08.05	00:19:01.450	0.86990				2
2025.08.05	00:19:08.650	0.86993	0.87113			6
2025.08.05	00:19:54.986		0.87112			4
2025.08.05	00:20:00.038	0.86993				2
2025.08.05	00:20:08.829	0.86989	0.87113			6
2025.08.05	00:20:49.632		0.87111			4
2025.08.05	00:21:00.324	0.86989				2
2025.08.05	00:21:36.889		0.87112			4
2025.08.05	00:21:37.217	0.86992				2
2025.08.05	00:21:51.061	0.87007	0.87113			6
2025.08.05	00:22:00.442	0.87007				2
2025.08.05	00:22:03.691	0.86984	0.87110			6
2025.08.05	00:22:57.561	0.87033	0.87140			6
2025.08.05	00:22:57.914		0.87139			4
2025.08.05	00:22:58.657		0.87140			4
2025.08.05	00:22:59.162		0.87141			4
2025.08.05	00:23:00.131	0.87033	0.87140			6
2025.08.05	00:23:03.057		0.87141			4
2025.08.05	00:23:04.931		0.87142			4
2025.08.05	00:23:05.444		0.87141			4
2025.08.05	00:23:15.977	0.87000	0.87139			6
2025.08.05	00:23:16.358		0.87140			4
2025.08.05	00:23:17.315		0.87141			4
2025.08.05	00:23:37.697	0.86989	0.87119			6
2025.08.05	00:24:00.288	0.86989				2
2025.08.05	00:24:38.047		0.87119			4
2025.08.05	00:24:52.500	0.87008	0.87148			6
2025.08.05	00:24:56.142	0.86989	0.87119			6
2025.08.05	00:25:00.215	0.86989				2
2025.08.05	00:25:56.442		0.87119			4
2025.08.05	00:26:01.598	0.86989				2
2025.08.05	00:26:02.689	0.87041	0.87135			6
2025.08.05	00:26:05.451		0.87127			4
2025.08.05	00:26:15.595		0.87126			4
2025.08.05	00:26:17.967	0.87049				2
2025.08.05	00:26:37.402		0.87128			4
2025.08.05	00:26:43.524		0.87115			4
2025.08.05	00:26:57.214	0.86993	0.87101			6
2025.08.05	00:27:02.834	0.86993				2
2025.08.05	00:27:09.430	0.87004	0.87121			6
2025.08.05	00:27:19.582	0.87021	0.87124			6
2025.08.05	00:27:29.837		0.87126			4
2025.08.05	00:27:41.966		0.87128			4
2025.08.05	00:27:43.873		0.87127			4
2025.08.05	00:27:47.863		0.87128			4
2025.08.05	00:27:49.458		0.87129			4
2025.08.05	00:27:56.881		0.87130			4
2025.08.05	00:27:57.204		0.87129			4
2025.08.05	00:28:00.120	0.87021	0.87130			6
2025.08.05	00:28:07.031		0.87131			4
2025.08.05	00:28:25.755		0.87133			4
2025.08.05	00:28:35.382		0.87134			4
2025.08.05	00:28:36.913		0.87135			4
2025.08.05	00:28:37.683		0.87136			4
2025.08.05	00:28:42.393		0.87137			4
2025.08.05	00:29:01.666	0.87021				2
2025.08.05	00:29:15.040		0.87136			4
2025.08.05	00:29:39.681	0.86984				2
2025.08.05	00:29:41.570		0.87134			4
2025.08.05	00:29:48.330		0.87135			4
2025.08.05	00:29:57.340		0.87134			4
2025.08.05	00:29:57.912		0.87136			4
2025.08.05	00:30:00.316	0.86984	0.87139			6
2025.08.05	00:30:00.849		0.87138			4
2025.08.05	00:30:02.589		0.87136			4
2025.08.05	00:30:12.996		0.87137			4
2025.08.05	00:30:21.765		0.87118			4
2025.08.05	00:30:23.586		0.87120			4
2025.08.05	00:30:24.707	0.86973				2
2025.08.05	00:30:25.221		0.87119			4
2025.08.05	00:30:29.277		0.87117			4
2025.08.05	00:30:29.578		0.87119			4
2025.08.05	00:30:31.237		0.87118			4
2025.08.05	00:30:35.140		0.87125			4
2025.08.05	00:30:37.261		0.87126			4
2025.08.05	00:30:38.179		0.87127			4
2025.08.05	00:30:41.457		0.87126			4
2025.08.05	00:30:42.688		0.87119			4
2025.08.05	00:30:43.277		0.87122			4
2025.08.05	00:30:43.812		0.87120			4
2025.08.05	00:30:44.580		0.87118			4
2025.08.05	00:30:49.589		0.87122			4
2025.08.05	00:30:50.046		0.87121			4
2025.08.05	00:30:52.521	0.87015	0.87118			6
2025.08.05	00:30:54.147		0.87121			4
2025.08.05	00:30:54.763		0.87118			4
2025.08.05	00:30:55.765		0.87119			4
2025.08.05	00:30:56.173		0.87121			4
2025.08.05	00:30:56.557		0.87118			4
2025.08.05	00:30:57.384		0.87119			4
2025.08.05	00:30:58.498		0.87121			4
2025.08.05	00:30:58.809		0.87120			4
2025.08.05	00:30:59.265		0.87121			4
2025.08.05	00:30:59.765		0.87118			4
2025.08.05	00:31:00.830	0.87015				2
2025.08.05	00:31:01.222		0.87121			4
2025.08.05	00:31:01.762		0.87117			4
2025.08.05	00:31:02.765		0.87118			4
2025.08.05	00:31:03.240		0.87120			4
2025.08.05	00:31:03.773		0.87118			4
